cxy,cyx,cxz,min_abs,site,max_weight,maj_score
0.09,0.15,0.0,1.551655412489433e-12,198,0.14150450605372955,0.6426629110625656
0.09,0.15,0.0125,1.551655412489433e-12,198,0.14150450605372955,0.6426629110625656
0.09,0.15,0.025,1.551655412489433e-12,198,0.14150450605372955,0.6426629110625656
0.09,0.15,0.037500000000000006,1.551655412489433e-12,198,0.14150450605372955,0.6426629110625656
0.09,0.15,0.05,1.551655412489433e-12,198,0.14150450605372955,0.6426629110625656
0.09,0.16,0.0,6.863868197763999e-13,198,0.14464529666763454,0.743355390230944
0.09,0.16,0.0125,6.863868197763999e-13,198,0.14464529666763454,0.743355390230944
0.09,0.16,0.025,6.863868197763999e-13,198,0.14464529666763454,0.743355390230944
0.09,0.16,0.037500000000000006,6.863868197763999e-13,198,0.14464529666763454,0.743355390230944
0.09,0.16,0.05,6.863868197763999e-13,198,0.14464529666763454,0.743355390230944
0.09,0.16999999999999998,0.0,3.098868207506698e-13,198,0.14833914651734775,0.8176412689409878
0.09,0.16999999999999998,0.0125,3.098868207506698e-13,198,0.14833914651734775,0.8176412689409878
0.09,0.16999999999999998,0.025,3.098868207506698e-13,198,0.14833914651734775,0.8176412689409878
0.09,0.16999999999999998,0.037500000000000006,3.098868207506698e-13,198,0.14833914651734775,0.8176412689409878
0.09,0.16999999999999998,0.05,3.098868207506698e-13,198,0.14833914651734775,0.8176412689409878
0.09,0.18,0.0,1.4340636499203673e-13,198,0.15207307030320294,0.5912879722621313
0.09,0.18,0.0125,1.4340636499203673e-13,198,0.15207307030320294,0.5912879722621313
0.09,0.18,0.025,1.4340636499203673e-13,198,0.15207307030320294,0.5912879722621313
0.09,0.18,0.037500000000000006,1.4340636499203673e-13,198,0.15207307030320294,0.5912879722621313
0.09,0.18,0.05,1.4340636499203673e-13,198,0.15207307030320294,0.5912879722621313
0.09,0.19,0.0,6.668654029570155e-14,198,0.15746733042624378,0.8936622180018847
0.09,0.19,0.0125,6.668654029570155e-14,198,0.15746733042624378,0.8936622180018847
0.09,0.19,0.025,6.668654029570155e-14,198,0.15746733042624378,0.8936622180018847
0.09,0.19,0.037500000000000006,6.668654029570155e-14,198,0.15746733042624378,0.8936622180018847
0.09,0.19,0.05,6.668654029570155e-14,198,0.15746733042624378,0.8936622180018847
0.09,0.2,0.0,3.152403488609534e-14,198,0.16560435036086968,0.5715863276879195
0.09,0.2,0.0125,3.152403488609534e-14,198,0.16560435036086968,0.5715863276879195
0.09,0.2,0.025,3.152403488609534e-14,198,0.16560435036086968,0.5715863276879195
0.09,0.2,0.037500000000000006,3.152403488609534e-14,198,0.16560435036086968,0.5715863276879195
0.09,0.2,0.05,3.152403488609534e-14,198,0.16560435036086968,0.5715863276879195
0.09,0.21,0.0,1.509538087084778e-14,198,0.18113465542295348,0.8447697020090508
0.09,0.21,0.0125,1.509538087084778e-14,198,0.18113465542295348,0.8447697020090508
0.09,0.21,0.025,1.509538087084778e-14,198,0.18113465542295348,0.8447697020090508
0.09,0.21,0.037500000000000006,1.509538087084778e-14,198,0.18113465542295348,0.8447697020090508
0.09,0.21,0.05,1.509538087084778e-14,198,0.18113465542295348,0.8447697020090508
0.09999999999999999,0.09,0.0,8.800057227700292e-11,198,0.1239883541132431,0.8596969506956976
0.09999999999999999,0.09,0.0125,8.800057227700292e-11,198,0.1239883541132431,0.8596969506956976
