t,a,b,c,q0,q1,q2,q3,phi
0.44,0.22569179608130915,0.006709627034469028,0.0375717691247787,0.9934516411865703,0.112648665723788,0.0012176039789270916,0.01904290353152158,0.0088
0.445,0.22745307361689623,0.0069860532500069655,0.03877085811502642,0.9933396828394587,0.11352680164605834,0.0012700656925631027,0.019655196197351562,0.0089
0.45,0.22919064693725466,0.007269830402366814,0.0399920728382102,0.9932276632983131,0.11439326330182088,0.0013240716151193361,0.020278979374992477,0.009000000000000001
0.455,0.2309044334511567,0.0075610208390308785,0.04123545754090789,0.9931155940490364,0.11524802083290189,0.0013796429659490182,0.020914280671708727,0.0091
0.46,0.2325943556179813,0.007859684532277261,0.04250105109751891,0.9930034855319935,0.11609104712572915,0.0014368008502418125,0.02156112478235691,0.0092
0.465,0.23426034110558397,0.008165878613021343,0.043788887118144104,0.9928913471241829,0.11692231788159577,0.0014955660301347049,0.022219533509273852,0.009300000000000001
0.47000000000000003,0.23590232282673496,0.008479657263420422,0.04509899396546029,0.9927791871291428,0.11774181162944586,0.0015559588793052407,0.022889525757004068,0.0094
0.47500000000000003,0.2375202389391192,0.008801071716873712,0.04643139475472024,0.9926670127698501,0.11854950972137394,0.001617999391282258,0.02357111752492703,0.009500000000000001
0.48,0.23911403284533636,0.009130170258022336,0.047786107353752647,0.9925548301826926,0.11934539632793476,0.001681707186811939,0.024264321900101384,0.0096
0.485,0.24068365319290097,0.009466998222749346,0.04916314438296225,0.9924426444125178,0.12012945843326316,0.0017471015202745895,0.024969149050328175,0.0097
0.49,0.24222905387424212,0.009811597998179693,0.05056251321532966,0.992330459408761,0.12090168583000419,0.0018142012851480186,0.02568560621743496,0.0098
0.495,0.24375019402670373,0.010164009022680253,0.05198421597641149,0.9922182780226646,0.12166207111405344,0.0018830250185141546,0.026413697710783474,0.0099
0.5,0.245247038039098,0.010524267767935405,0.05342824955484751,0.9921061020051154,0.12241060968213675,0.001953590894982228,0.027153424905126778,0.01
0.505,0.24671955568575013,0.01089240736453256,0.05489460577612204,0.9919939319969893,0.12314729978782729,0.0020259165309626215,0.027904786297859002,0.0101
0.51,0.24816772200205028,0.011268457931839759,0.05638327114517541,0.9918817675392323,0.12387214247752272,0.002100019167126271,0.02866777739508967,0.0102
0.515,0.24959151732338145,0.011652446488044949,0.057894226992998295,0.9917696070704568,0.12458514160247665,0.0021759156148645075,0.02944239077315966,0.0103
0.52,0.2509909273308953,0.012044396827576617,0.059427449563611325,0.9916574479259335,0.12528630383331624,0.002253622188862774,0.030228616108587663,0.010400000000000001
0.525,0.25236594305151216,0.012444329521103793,0.060982910014065174,0.9915452863411155,0.12597563865309921,0.002333154705425773,0.031026440172530145,0.0105
0.53,0.25371656085792127,0.01285226191553604,0.06256057441444049,0.9914331174562673,0.1266531583501578,0.002414528479844715,0.03183584682551201,0.0106
0.535,0.25504278246858053,0.013268208134023466,0.06416040374784794,0.9913209353221926,0.12731887801072864,0.002497758322808321,0.032656817012431394,0.010700000000000001
0.54,0.25634461494771654,0.013692179075956719,0.06578235391042819,0.9912087329070636,0.12797281551136708,0.0025828585358598716,0.033489328757842135,0.0108
0.545,0.25762207070532467,0.014124182416966983,0.0674263757113519,0.9910965021043437,0.12861499151114555,0.0026698429059032027,0.03433335716151732,0.010900000000000002
0.55,0.2588751674971691,0.014564222608925984,0.06909241487281977,0.9909842337418037,0.12924542944363318,0.0027587246987612647,0.03518887439429785,0.011000000000000001
0.555,0.2601039284374406,0.015012300866991872,0.07078041213696236,0.9908719175889528,0.12986415551485853,0.002849516638203595,0.0360558497463719,0.0111
0.56,0.26130838204961915,0.015468415057733968,0.07249030341396837,0.9907595423626216,0.13047119871830443,0.002942230831409348,0.03693424968984615,0.011200000000000002
0.5650000000000001,0.2624885622204603,0.015932559745114646,0.07422201938052272,0.9906470957489866,0.13106659080343103,0.0030368788091931524,0.03782403767926672,0.011300000000000001
0.5700000000000001,0.2636445082061186,0.01640472625167224,0.07597548584365314,0.9905345644094153,0.13165036627128063,0.003133471522270191,0.03872517433281113,0.011400000000000002
0.5750000000000001,0.26477626463400616,0.016884902658995015,0.07775062376748981,0.9904219339936908,0.13222256236631497,0.0032320193282291167,0.03963761744284065,0.011500000000000002
0.58,0.2658838815027926,0.01737307380772116,0.07954734927326532,0.9903091891548628,0.13278321906706006,0.0033325319791384167,0.040561321973470975,0.0116
0.585,0.26696741418240527,0.01786922129753881,0.08136557363931483,0.9901963135651265,0.13333237907652223,0.0034350186082669617,0.04149624005845722,0.0117
