tc,cross_comp_2,score,target_residual,braid_res,ybe_res,best_axis
0.9166666666666667,0.09166666666666665,6.958301397625334,1.7811478292533427,1.9555519391489664,3.2216016292230245,y
0.9166666666666667,0.1,6.97661668052487,1.8254406855905672,1.847793938489554,3.3033820564447485,y
0.925,-0.1,6.837453313643358,0.640676314374636,4.297499125002929,1.8992778742657932,z
0.925,-0.09166666666666667,6.900018986170774,0.70078419868907,4.274865232524207,1.9243695549574962,z
0.925,-0.08333333333333334,6.957100584316069,0.7614228120757928,4.243205182759421,1.9524725894808557,z
0.925,-0.07500000000000001,7.008019883769863,0.8224657215905034,4.201669299592075,1.9838848625872847,z
0.925,-0.06666666666666668,7.05215191294133,0.8837962613930626,4.149513863740773,2.0188417878074945,z
0.925,-0.05833333333333334,7.088948476338691,0.9453032996998935,4.086139261417371,2.057505915221427,z
0.925,-0.05,7.117966970113053,1.0068784952453433,4.011127698173833,2.0999607766938775,z
0.925,-0.04166666666666667,7.138902760225413,1.0684144942213438,3.9242787669704446,2.146209499033625,z
0.925,-0.03333333333333334,7.151623002174202,1.1298037394035236,3.8256410819191813,2.196178180851497,z
0.925,-0.02500000000000001,7.156199352879964,1.19093768943614,3.715538196964591,2.249723466479234,z
0.925,-0.016666666666666677,7.152936693259438,1.2517063206259003,3.594587128130308,2.306643244503229,z
0.925,-0.008333333333333345,7.1423948379203,1.3119978286005636,3.46370798938478,2.3666890199349555,z
0.925,0.0,7.125400308263323,1.3716984750960806,3.3241235290251576,2.4295783041420855,z
0.925,0.008333333333333331,7.103045599079634,1.4306925428305268,3.1773477005254933,2.495005355723613,z
0.925,0.016666666666666663,7.076673954704885,1.4888623728710646,3.0251627944512056,2.562648787382615,z
0.925,0.024999999999999994,7.047848441451642,1.546088466443237,2.8695850630749336,2.632174911933471,z
0.925,0.033333333333333326,7.018304993629865,1.6022496381848543,2.712819149111444,2.7032362063335666,z
0.925,0.04166666666666666,6.989890049752482,1.6572232112819636,2.557201953215518,2.7754648852550003,z
0.925,0.04999999999999999,6.964484324950702,1.710885247291084,2.405136837897773,2.8484622397618446,z
0.925,0.05833333333333332,6.943915173285229,1.7631108051014333,2.259019327134757,2.9217850410490387,z
0.925,0.06666666666666665,6.929860961983707,1.813774224652778,2.1211558861775197,2.9949308511534087,y
0.925,0.07499999999999998,6.923752122859518,1.862749431849692,1.9936782528762902,3.0673244381335354,y
0.925,0.08333333333333331,6.926675373372072,1.9099102617042862,1.8784575184354337,3.138307593232352,y
0.925,0.09166666666666665,6.939290205313629,1.9551307971653527,1.7770249536416607,3.207134454506615,y
0.925,0.1,6.961769767569698,1.998285721400835,1.6905100841371554,3.2729739620317075,y
0.9333333333333333,-0.1,7.073550361182315,0.7812217551526968,4.217824250020396,2.0745043560092227,z
0.9333333333333333,-0.09166666666666667,7.123532748887784,0.8452256874910795,4.177166382848045,2.101140678548659,z
0.9333333333333333,-0.08333333333333334,7.165132169160488,0.9094763717468652,4.1266859640322,2.128969833381423,z
0.9333333333333333,-0.07500000000000001,7.197797584873958,0.9738703170165547,4.06579011694256,2.1581371509148424,z
0.9333333333333333,-0.06666666666666668,7.221102830568736,1.03830492398033,3.9940382013347455,2.1887597052536605,z
0.9333333333333333,-0.05833333333333334,7.234776469842082,1.1026771607766679,3.911175019507626,2.220924289557787,z
0.9333333333333333,-0.05,7.238731641897632,1.1668827103845942,3.817161131693497,2.254687799819541,z
0.9333333333333333,-0.04166666666666667,7.2330940260623855,1.2308154317601807,3.712198638041117,2.290079956261088,z
0.9333333333333333,-0.03333333333333334,7.218225871795621,1.2943670364830262,3.5967508499167735,2.3271079853958216,z
0.9333333333333333,-0.02500000000000001,7.194743925604292,1.357426918062172,3.471554431677275,2.365762575864845,z
0.9333333333333333,-0.016666666666666677,7.163529086454361,1.4198820926784212,3.337622845151465,2.4060241486244744,z
0.9333333333333333,-0.008333333333333345,7.125725779750384,1.4816172236793945,3.1962402656833193,2.4478682903876714,z
0.9333333333333333,0.0,7.082729385650131,1.542514710804748,3.048945545493755,2.4912691293516276,z
0.9333333333333333,0.008333333333333331,7.036160600805063,1.6024548307681903,2.8975062527166786,2.536199517320194,z
0.9333333333333333,0.016666666666666663,6.987826339421768,1.6613159195708838,2.743883278175683,2.582627141675202,z
0.9333333333333333,0.024999999999999994,6.9396676458594655,1.7189745894459643,2.590186933341512,2.6305061230719886,z
0.9333333333333333,0.033333333333333326,6.893696021404314,1.7753059750570281,2.438625814305432,2.6797642320418538,z
0.9333333333333333,0.04166666666666666,6.8519204632869055,1.8301840047634217,2.2914499377922244,2.730286520731259,z
0.9333333333333333,0.04999999999999999,6.816268275749897,1.8834816935939953,2.150889755813689,2.7818968263422117,z
0.9333333333333333,0.05833333333333332,6.788503288278075,1.9350714551532409,2.019092680310733,2.834339152814101,y
0.9333333333333333,0.06666666666666665,6.770145557580003,1.9848254300946664,1.8980588583720752,2.8872612691132606,y
0.9333333333333333,0.07499999999999998,6.696624687297859,1.9668433825147096,1.7895784117834348,2.9402028929997153,y
0.9333333333333333,0.08333333333333331,6.606254471234102,1.9184904383272015,1.6951735097061453,2.9925905232007555,y
0.9333333333333333,0.09166666666666665,6.530078758076183,1.8702878086951138,1.6160505822356932,3.043740367145376,y
0.9333333333333333,0.1,6.46849514012465,1.8225549906514702,1.5530701775142948,3.0928699719588857,z
0.9416666666666667,-0.1,7.199905164351644,0.9329545438034821,4.077921809824858,2.189028810723304,z
0.9416666666666667,-0.09166666666666667,7.229046600514968,0.9997061770391754,4.018786731439598,2.210553692036194,z
0.9416666666666667,-0.08333333333333334,7.2474358111626405,1.0664858167704256,3.949671505426084,2.231278488966131,z
0.9416666666666667,-0.07500000000000001,7.254776572360265,1.133193370187798,3.870308875688658,2.2512743264838084,z
0.9416666666666667,-0.06666666666666668,7.25095948364782,1.1997266961495678,3.7806136840989004,2.2706191033993526,z
0.9416666666666667,-0.05833333333333334,7.236089205336069,1.2659812492264968,3.6807068333182533,2.289401122791319,z
0.9416666666666667,-0.05,7.210508222006429,1.3318498856462826,3.570934530670198,2.3077238056899487,z
0.9416666666666667,-0.04166666666666667,7.1748153770652205,1.3972227848514904,3.4518815647880037,2.325711027425727,z
0.9416666666666667,-0.03333333333333334,7.129877419330263,1.4619874564695519,3.324377571911306,2.3435123909494058,z
0.9416666666666667,-0.02500000000000001,7.076831893187615,1.5260288124840595,3.1894955372302234,2.3613075434733326,z
0.9416666666666667,-0.016666666666666677,7.017079916631985,1.5892292907415648,3.048542138894394,2.379308486996027,z
0.9416666666666667,-0.008333333333333345,6.952267751053595,1.651469020038474,2.903039960001022,2.397758771014099,z
0.9416666666666667,0.0,6.884256588251786,1.712626019740782,2.754702038249575,2.416928530261428,z
0.9416666666666667,0.008333333333333331,6.815080660040392,1.7725764287010446,2.605399652384948,2.4371045789543992,z
0.9416666666666667,0.016666666666666663,6.7468945778463345,1.8311947594631253,2.457124602801941,2.458575215581268,z
0.9416666666666667,0.024999999999999994,6.681911652197232,1.8883541745844281,2.311947460367603,2.4816100172452007,z
0.9416666666666667,0.033333333333333326,6.622335692012008,1.943926782483059,2.1719732548341284,2.506435654694821,z
0.9416666666666667,0.04166666666666666,6.570289272878988,1.997783950617813,2.0392957875999107,2.5332095346612644,x
