combo,values,min_abs_E
Y_Y+Z_Z+Z_Y,0.05,2.347288e-03
Y_Y+Z_Z+Z_Y,0.1,2.240990e-04
Y_Y+Z_Z+Z_Y,0.15,1.881514e-05
Y_Y+Z_Z+Z_Y,0.2,9.997956e-07
Y_Y+Z_Z+Z_Y,0.25,1.680337e-08
Y_Y+Z_Z+Z_Y,0.3,6.774073e-04
Y_Y+X_Y+Y_X,0,5.663742e-03
Y_Y+X_Y+Y_X,0.05,1.575992e-04
Y_Y+X_Y+Y_X,0.1,2.600738e-07
Y_Y+X_Y+Y_X,0.15,4.847052e-10
Y_Y+X_Y+Y_X,0.2,4.581101e-13
Y_Y+X_Y+Y_X,0.25,1.244547e-15
Y_Y+X_Y+Y_X,0.3,6.581918e-16
Y_Y+X_Y+X_Z,0,5.663742e-03
Y_Y+X_Y+X_Z,0.05,5.219474e-02
Y_Y+X_Y+X_Z,0.1,4.838864e-02
Y_Y+X_Y+X_Z,0.15,2.949911e-02
Y_Y+X_Y+X_Z,0.2,1.092714e-02
Y_Y+X_Y+X_Z,0.25,3.146050e-03
Y_Y+X_Y+X_Z,0.3,8.058181e-04
Y_Y+X_Y+Y_Z,0,5.663742e-03
Y_Y+X_Y+Y_Z,0.05,5.219474e-02
Y_Y+X_Y+Y_Z,0.1,4.838864e-02
Y_Y+X_Y+Y_Z,0.15,2.949911e-02
Y_Y+X_Y+Y_Z,0.2,1.092714e-02
Y_Y+X_Y+Y_Z,0.25,3.146050e-03
Y_Y+X_Y+Y_Z,0.3,8.058181e-04
Y_Y+X_Y+Z_X,0,5.663742e-03
Y_Y+X_Y+Z_X,0.05,5.219474e-02
Y_Y+X_Y+Z_X,0.1,4.838864e-02
Y_Y+X_Y+Z_X,0.15,2.949911e-02
Y_Y+X_Y+Z_X,0.2,1.092714e-02
Y_Y+X_Y+Z_X,0.25,3.146050e-03
